item_id	title	status	item_page	media_url
86	Radha Kunda Tata Kunja Kutir	available	https://www.bbtirtha.org/EN/audio/86	https://www.bbtirtha.org/media/audios/kirtan/radha_kunda_tata_by_%20srila_gurudev.mp3
165	Sri Jagannathastakam	available	https://www.bbtirtha.org/EN/audio/165	https://www.bbtirtha.org/media/audios/kirtan/sri_jagannathastakam_gurudev.mp4
186	Sri Cauragraganya Ashtakam	available	https://www.bbtirtha.org/EN/audio/186	https://www.bbtirtha.org/media/audios/kirtan/sri_chouragraganya_purushastakam_gurudev.mp3
413	Jay Dau Jay Dau	available	https://www.bbtirtha.org/EN/audio/413	https://www.bbtirtha.org/media/audios/kirtan/jai_dao_jai_dao.mp3
432	Jay Govinda Jay Gopal	available	https://www.bbtirtha.org/EN/audio/432	https://www.bbtirtha.org/media/audios/kirtan/jay_govinda_jay_gopal.mp3
442	Kothay Go Prem Mayi Radhe Radhe	available	https://www.bbtirtha.org/EN/audio/442	https://www.bbtirtha.org/media/audios/kirtan/kothai_go_prema_mayi.mp3
445	Radhe Radhe Govind Govind Radhe	available	https://www.bbtirtha.org/EN/audio/445	https://www.bbtirtha.org/media/audios/kirtan/radhe_radhe_govind_govind_radhe.mp3
515	Shikshashtaka	available	https://www.bbtirtha.org/EN/audio/515	https://www.bbtirtha.org/media/audios/kirtan/kartik/shiksastaka.mp3
1478	Guru parampara vandana Gurvastak and Vaishnav vandana	available	https://www.bbtirtha.org/EN/audio/1478	https://www.bbtirtha.org/media/audios/kirtan/19_Guru_Parampara_Vandana_Gurvvastak_Vaishnav_Vandana.mp3
1244	Sri Narasimha Kirtan	available	https://www.bbtirtha.org/EN/audio/1244	https://www.bbtirtha.org/media/audios/kirtan/narasimha_kirtan_gurudev.mp3
886	Gaur Hari Bolo Bhai	available	https://www.bbtirtha.org/EN/audio/886	https://www.bbtirtha.org/media/audios/kirtan/gaura_hari_bolo_bhai.mp3
887	Radha-Krishna Bol Bol	available	https://www.bbtirtha.org/EN/audio/887	https://www.bbtirtha.org/media/audios/kirtan/radha_krishna_bol_bol.mp3
812	Nitai guna-mani amar	available	https://www.bbtirtha.org/EN/audio/812	https://www.bbtirtha.org/media/audios/kirtan/nitayi_guna_mani_amar.mp3
1891	Untitled official album entry 1891	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1891	
1892	Untitled official album entry 1892	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1892	
1893	Untitled official album entry 1893	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1893	
1894	Untitled official album entry 1894	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1894	
1895	Untitled official album entry 1895	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1895	
1897	Untitled official album entry 1897	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1897	
1898	Untitled official album entry 1898	blocked_by_site_verification	https://www.bbtirtha.org/EN/audio/1898	
